       0.10000E+02       0.90120E+06
       0.10975E+02       0.13018E+07
       0.12045E+02       0.13018E+07
       0.13219E+02       0.13018E+07
       0.14508E+02       0.13018E+07
       0.15923E+02       0.13018E+07
       0.17475E+02       0.13018E+07
       0.19179E+02       0.17024E+07
       0.21049E+02       0.17024E+07
       0.23101E+02       0.17024E+07
       0.25354E+02       0.17024E+07
       0.27826E+02       0.21030E+07
       0.30539E+02       0.21030E+07
       0.33516E+02       0.21030E+07
       0.36784E+02       0.21030E+07
       0.40370E+02       0.25036E+07
       0.44306E+02       0.25036E+07
       0.48626E+02       0.25036E+07
       0.53367E+02       0.29042E+07
       0.58570E+02       0.29042E+07
       0.64281E+02       0.33048E+07
       0.70548E+02       0.33048E+07
       0.77426E+02       0.37054E+07
       0.84975E+02       0.37054E+07
       0.93260E+02       0.41060E+07
       0.10235E+03       0.41060E+07
       0.11233E+03       0.45066E+07
       0.12328E+03       0.49072E+07
       0.13530E+03       0.53078E+07
       0.14850E+03       0.53078E+07
       0.16298E+03       0.57084E+07
       0.17886E+03       0.61090E+07
       0.19630E+03       0.65096E+07
       0.21544E+03       0.69102E+07
       0.23645E+03       0.73108E+07
       0.25950E+03       0.77114E+07
       0.28480E+03       0.81120E+07
       0.31257E+03       0.89132E+07
       0.34305E+03       0.93138E+07
       0.37649E+03       0.10115E+08
       0.41320E+03       0.10516E+08
       0.45349E+03       0.11317E+08
       0.49770E+03       0.12118E+08
       0.54623E+03       0.12519E+08
       0.59948E+03       0.13320E+08
       0.65793E+03       0.14522E+08
       0.72208E+03       0.15323E+08
       0.79248E+03       0.16124E+08
       0.86975E+03       0.17326E+08
       0.95455E+03       0.18528E+08
       0.10476E+04       0.19329E+08
       0.11498E+04       0.20931E+08
       0.12619E+04       0.22133E+08
       0.13849E+04       0.23335E+08
       0.15199E+04       0.24937E+08
       0.16681E+04       0.26540E+08
       0.18307E+04       0.28142E+08
       0.20092E+04       0.30145E+08
       0.22051E+04       0.31747E+08
       0.24201E+04       0.33751E+08
       0.26561E+04       0.36154E+08
       0.29151E+04       0.38558E+08
       0.31993E+04       0.40961E+08
       0.35112E+04       0.43365E+08
       0.38535E+04       0.46169E+08
       0.42292E+04       0.48973E+08
       0.46416E+04       0.52178E+08
       0.50941E+04       0.55784E+08
       0.55908E+04       0.58988E+08
       0.61359E+04       0.62994E+08
       0.67342E+04       0.67000E+08
       0.73907E+04       0.71006E+08
       0.81113E+04       0.75814E+08
       0.89022E+04       0.80621E+08
       0.97701E+04       0.85829E+08
       0.10723E+05       0.91036E+08
       0.11768E+05       0.97045E+08
       0.12915E+05       0.10305E+09
       0.14175E+05       0.10986E+09
       0.15557E+05       0.11667E+09
       0.17074E+05       0.12429E+09
       0.18738E+05       0.13230E+09
       0.20565E+05       0.14071E+09
       0.22570E+05       0.14952E+09
       0.24771E+05       0.15914E+09
       0.27186E+05       0.16915E+09
       0.29836E+05       0.18037E+09
       0.32745E+05       0.19159E+09
