  0.000
10.00 -3.112 -3.319 -3.524 -3.728 -3.932 -4.132 -4.320 -4.518 -4.648 -4.776 -4.854 -4.871 -4.819 -4.705 -4.538 -4.330 -4.085 -3.801 -3.481 -3.175 -2.864 -2.551 -2.234 -1.914 -1.590 -1.263 -0.932 -0.600 -0.279 -0.180 -0.477
10.00 -2.292 -2.515 -2.731 -2.939 -3.178 -3.390 -3.595 -3.791 -3.981 -4.156 -4.298 -4.391 -4.406 -4.337 -4.194 -3.985 -3.734 -3.452 -3.143 -2.841 -2.534 -2.221 -1.903 -1.580 -1.252 -0.919 -0.582 -0.245  0.033 -0.138 -0.548
10.00 -1.566 -1.769 -2.003 -2.235 -2.462 -2.683 -2.898 -3.104 -3.299 -3.483 -3.640 -3.753 -3.800 -3.762 -3.653 -3.490 -3.283 -3.032 -2.745 -2.468 -2.184 -1.893 -1.597 -1.294 -0.985 -0.671 -0.352 -0.036  0.144 -0.171 -0.676
10.00 -1.092 -1.224 -1.389 -1.586 -1.797 -2.016 -2.231 -2.440 -2.634 -2.807 -2.950 -3.051 -3.090 -3.067 -2.987 -2.861 -2.699 -2.494 -2.251 -2.018 -1.778 -1.532 -1.277 -1.015 -0.746 -0.471 -0.190  0.082  0.145 -0.214 -0.836
10.00 -1.013 -1.020 -1.061 -1.146 -1.273 -1.438 -1.612 -1.781 -1.936 -2.063 -2.162 -2.224 -2.245 -2.231 -2.176 -2.094 -1.984 -1.840 -1.663 -1.498 -1.330 -1.159 -0.985 -0.808 -0.627 -0.443 -0.255 -0.074 -0.014 -0.297 -1.016
10.00 -0.999 -0.998 -0.999 -1.005 -1.022 -1.059 -1.116 -1.187 -1.254 -1.310 -1.348 -1.369 -1.374 -1.360 -1.323 -1.269 -1.196 -1.097 -0.967 -0.852 -0.735 -0.617 -0.498 -0.378 -0.256 -0.133 -0.009  0.103  0.091 -0.304 -1.191
10.00 -0.998 -0.997 -0.996 -0.991 -0.980 -0.947 -0.884 -0.803 -0.727 -0.673 -0.639 -0.612 -0.587 -0.559 -0.531 -0.494 -0.450 -0.382 -0.292 -0.210 -0.128 -0.044  0.042  0.129  0.219  0.309  0.397  0.439  0.238 -0.398 -1.381
10.00 -0.998 -0.997 -0.996 -0.991 -0.978 -0.942 -0.857 -0.701 -0.494 -0.291 -0.129 -0.018  0.058  0.109  0.145  0.184  0.240  0.288  0.304  0.340  0.381  0.425  0.473  0.525  0.581  0.640  0.682  0.576  0.184 -0.574 -1.579
10.00 -0.998 -0.998 -0.996 -0.993 -0.981 -0.950 -0.874 -0.724 -0.487 -0.187  0.115  0.364  0.535  0.640  0.717  0.778  0.803  0.821  0.868  0.904  0.943  0.985  1.030  1.078  1.128  1.174  1.154  0.887  0.241 -0.734 -1.776
10.00 -0.993 -0.995 -0.995 -0.992 -0.984 -0.958 -0.893 -0.762 -0.544 -0.234  0.141  0.513  0.816  1.030  1.172  1.243  1.282  1.331  1.397  1.454  1.514  1.573  1.634  1.695  1.753  1.787  1.661  1.077  0.113 -0.927 -1.975
10.00 -0.925 -0.963 -0.982 -0.987 -0.981 -0.961 -0.907 -0.794 -0.600 -0.304  0.080  0.508  0.921  1.246  1.459  1.608  1.711  1.802  1.879  1.962  2.047  2.130  2.214  2.297  2.363  2.323  1.867  0.952 -0.080 -1.126 -2.175
10.00 -0.750 -0.815 -0.880 -0.930 -0.952 -0.946 -0.904 -0.808 -0.635 -0.364  0.010  0.451  0.917  1.329  1.652  1.907  2.076  2.248  2.404  2.569  2.733  2.896  3.055  3.188  3.160  2.662  1.779  0.763 -0.279 -1.326 -2.375
