8.39      .C
8.66      .O
6.17      .Na
6.37      .Al
7.51      .Si
7.14      .S
6.18      .Ar
6.31      .Ca
7.45      .Fe
6.17      .Ni          (Scott & Asplund iron peak paper, in prep)
2.00      .Pb
