0.6 1.0E+07 847180134.841354
0.6 5.0E+07 866526119.147558
0.6 1.0E+08 885469785.230682
0.6 5.0E+08 1036154992.04623
0.6 1.0E+09 1256839116.45830
0.6 5.0E+09 1980751035.21784
0.6 1.0E+10 2348575445.51688
0.6 5.0E+10 3468063237.79349
0.8 1.0E+07 904439984.920592
0.8 5.0E+07 915272882.901015
0.8 1.0E+08  927500729.644534
0.8 5.0E+08  1011320406.26912
0.8 1.0E+09  1162470122.37841
0.8 2.0E+09  1654862466.55328
0.8 3.0E+09  2031303227.33284
0.8 4.0E+09  2246605235.24184
0.8 5.0E+09  2370114464.76020
0.8 1.0E+10  2793866060.71393
0.8 5.0E+10  4032088168.48052
1.0 1.0E+07  976642407.495487
1.0 5.0E+07  982321069.511088
1.0 1.0E+08  988453692.306829
1.0 5.0E+08  1031402016.39808
1.0 1.0E+09  1093898746.85487
1.0 2.0E+09  1326304875.26047
1.0 3.0E+09  1821067411.73691
1.0 4.0E+09  2244148776.47826
1.0 5.0E+09  2533829541.48880
1.0 1.0E+10  3126442404.94968
1.0 5.0E+10  4481102569.43810
2.0 1.0E+07  1345998819.69922
2.0 5.0E+07  1345877085.81844
2.0 1.0E+08  1346302255.01066
2.0 5.0E+08  1351446519.61627
2.0 1.0E+09  1356971469.77985
2.0 5.0E+09  1412847631.88897
2.0 1.0E+10  1557972348.11588
2.0 1.05E+10 1591906328.87948
2.0 1.1E+10  1627073570.04401
2.0 1.15E+10 1667540360.87847
2.0 1.2E+10  1713934602.27769
2.0 1.25E+10 1768425598.46812
2.0 1.3E+10  1835015339.48416
2.0 1.35E+10 1911926484.37110
2.0 1.4E+10  2018775387.37971
2.0 1.45E+10 2169909152.54290
2.0 1.5E+10  2413974560.83226
2.0 1.55E+10 2742697260.18140
2.0 1.6E+10  2987730571.47266
2.0 1.65E+10 3174043991.00355
2.0 1.7E+10  3324970851.01966
2.0 1.75E+10 3458309208.90122
2.0 1.8E+10  3575477044.73116
2.0 1.85E+10 3687412424.84255
2.0 1.9E+10  3789387155.40529
2.0 1.95E+10 3882623301.34904
2.0 2.0E+10  3976650750.21795
2.0 3.0E+10  5219685553.45689
2.0 4.0E+10  5999686060.61458
2.0 5.0E+10  6498576521.22449
4.0 1.0E+07  2334280118.49782
4.0 5.0E+07  2334356743.78569
4.0 1.0E+08  2334452709.66865
4.0 5.0E+08  2335668026.60139
4.0 1.0E+09  2336187524.54447
4.0 5.0E+09  2345317407.02555
4.0 1.0E+10  2357427820.65229
4.0 5.0E+10  2510970157.76115
