0.6 1.0E+07  -.116114120022E+01 0.359585620622E+01
0.6 5.0E+07  -.116611473593E+01 0.359475623744E+01
0.6 1.0E+08  -.117027598738E+01 0.359354187031E+01
0.6 5.0E+08  -.118524615197E+01 0.358563440163E+01
0.6 1.0E+09  -.115548395273E+01 0.358002721640E+01
0.6 5.0E+09  -.837972104339E+00 0.357967054226E+01
0.6 1.0E+10  -.682069575991E+00 0.358156829740E+01
0.6 5.0E+10  -.314511062375E+00 0.358850174022E+01
0.8 1.0E+07  -.603534419519E+00 0.367957548412E+01
0.8 5.0E+07  -.607531024422E+00 0.367822802725E+01
0.8 1.0E+08  -.614609656379E+00 0.367618472363E+01
0.8 5.0E+08  -.660857669504E+00 0.366009532969E+01
0.8 1.0E+09  -.729997381348E+00 0.363361753069E+01
0.8 2.0E+09  -.784601858347E+00 0.359849345100E+01
0.8 3.0E+09  -.730976370529E+00 0.359340495015E+01
0.8 4.0E+09  -.672517172630E+00 0.359349540828E+01
0.8 5.0E+09  -.621577184794E+00 0.359458528336E+01
0.8 1.0E+10  -.460760846039E+00 0.359898655037E+01
0.8 5.0E+10  -.731664813813E-01 0.361590637787E+01
1.0 1.0E+07  -.150112378311E+00 0.374816454382E+01
1.0 5.0E+07  -.153481256414E+00 0.374765777649E+01
1.0 1.0E+08  -.157600611767E+00 0.374701789103E+01
1.0 5.0E+08  -.183755177816E+00 0.373968269608E+01
1.0 1.0E+09  -.216622574388E+00 0.372926353775E+01
1.0 2.0E+09  -.324423478865E+00 0.369180425969E+01
1.0 3.0E+09  -.441957610868E+00 0.364055996854E+01
1.0 4.0E+09  -.450319602837E+00 0.362190745313E+01
1.0 5.0E+09  -.424286225493E+00 0.361710267101E+01
1.0 1.0E+10  -.270554734905E+00 0.362195651306E+01
1.0 5.0E+10  0.123291029104E+00 0.364194213201E+01
2.0 1.0E+07  0.122102568458E+01 0.396401241354E+01
2.0 5.0E+07  0.122087880332E+01 0.396396006283E+01
2.0 1.0E+08  0.121847235528E+01 0.396345246835E+01
2.0 5.0E+08  0.121741327853E+01 0.396245991420E+01
2.0 1.0E+09  0.121391810924E+01 0.396089885774E+01
2.0 5.0E+09  0.118723693479E+01 0.394564365827E+01
2.0 1.0E+10  0.112104727117E+01 0.390778776382E+01
2.0 1.05E+10 0.112971018932E+01 0.389990251377E+01
2.0 1.1E+10  0.111671495325E+01 0.389117023554E+01
2.0 1.15E+10 0.110161205676E+01 0.388128878699E+01
2.0 1.2E+10  0.108443977298E+01 0.387020623648E+01
2.0 1.25E+10 0.106447444146E+01 0.385752994983E+01
2.0 1.3E+10  0.103970726907E+01 0.384266842638E+01
2.0 1.35E+10 0.101152782073E+01 0.382728068270E+01
2.0 1.4E+10  0.972362793865E+00 0.381145823082E+01
2.0 1.45E+10 0.918000426004E+00 0.379595590438E+01
2.0 1.5E+10  0.835508712831E+00 0.377824203046E+01
2.0 1.55E+10 0.741952030188E+00 0.376112084892E+01
2.0 1.6E+10  0.689474415862E+00 0.375118684584E+01
2.0 1.65E+10 0.658917036964E+00 0.374469101439E+01
2.0 1.7E+10  0.639512899180E+00 0.374002279431E+01
2.0 1.75E+10 0.625451831842E+00 0.373621260721E+01
2.0 1.8E+10  0.615379973270E+00 0.373311406579E+01
2.0 1.85E+10 0.607507435541E+00 0.373040621560E+01
2.0 1.9E+10  0.601643307081E+00 0.372808620152E+01
2.0 1.95E+10 0.597206830102E+00 0.372606336874E+01
2.0 2.0E+10  0.593567099165E+00 0.372417815305E+01
2.0 3.0E+10  0.606714892432E+00 0.370840506055E+01
2.0 4.0E+10  0.649706504251E+00 0.370418927573E+01
2.0 5.0E+10  0.693851756344E+00 0.370297783806E+01
4.0 1.0E+07  0.237920588884E+01 0.416826804580E+01
4.0 5.0E+07  0.237919607429E+01 0.416825696839E+01
4.0 1.0E+08  0.237918378157E+01 0.416824309518E+01
4.0 5.0E+08  0.237979323145E+01 0.416807210926E+01
4.0 1.0E+09  0.237896138036E+01 0.416799233569E+01
4.0 5.0E+09  0.237504786626E+01 0.416649287078E+01
4.0 1.0E+10  0.237048225212E+01 0.416450784375E+01
4.0 5.0E+10  0.234563815487E+01 0.414231750910E+01
